Arrumar a própria cama	individual		diaria	3	1	0.25	1	Obrigatória	Para mim	Quarto	
Colocar roupa suja no cesto	individual		diaria	2	1	0.15	1	Obrigatória	Para mim	Quarto	
Pendurar a própria toalha de banho	individual		diaria	1	1	0.05	1	Obrigatória	Para mim	Banheiro	
Guardar os próprios sapatos	individual		diaria	2	1	0.15	1	Obrigatória	Para mim	Quarto	
Organizar brinquedos e objetos pessoais pela casa	individual		diaria	5	1	0.35	1	Obrigatória	Para mim	Geral (casa toda)	
Lavar/guardar o próprio prato do café da manhã	individual		diaria	2	1	0.15	1	Obrigatória	Para mim	Cozinha	
Lavar/guardar o próprio prato do almoço	individual		diaria	2	1	0.15	1	Obrigatória	Para mim	Cozinha	
Lavar/guardar o próprio prato do jantar	individual		diaria	2	1	0.15	1	Obrigatória	Para mim	Cozinha	
Cuidar da roupa da escola (incluindo meia e sapato) do dia seguinte	individual		semanal	4	1	0.30	1	Obrigatória	Para mim	Quarto	{0,1,2,3,4}
Arrumar a mochila para o dia seguinte	individual		semanal	5	2	0.40	1	Obrigatória	Para mim	Quarto	{0,1,2,3,4}
Trocar a roupa de cama pessoal	individual		semanal	10	2	0.85	1	Obrigatória	Para mim	Quarto	
Guardar a própria roupa limpa no lugar	individual		semanal	10	1	0.70	1	Obrigatória	Para mim	Quarto	
Manter o próprio skate e EPIs higienizados	individual		semanal	10	2	0.85	1	Obrigatória	Para mim	Área de Serviço	
Cuidar da toalha de banho (tirar, lavar e guardar)	individual		semanal	20	2	1.70	1	Obrigatória	Para mim	Lavanderia	
Limpar o próprio tênis	individual		semanal	10	1	0.70	1	Obrigatória	Para mim	Área de Serviço	
Manter o quarto arrumado no geral	individual_coletiva		diaria	5	1	0.35	1	Obrigatória	Compartilhadas	Quarto	
Abrir a janela	individual_coletiva		diaria	1	1	0.05	1	Obrigatória	Compartilhadas	Quarto	
Varrer e passar pano no chão do quarto	individual_coletiva		semanal	10	2	0.90	1	Obrigatória	Compartilhadas	Quarto	
